"id","payment_id","region","region_code","circle","circle_code","division_name","division_code","consumer_id","consumer_name","payment_mode","payment_date","punching_date","payment_amount","status","dept_name","dept_code","govrmt_private","arrear_paid","current_bill_paid","status_on_punching","payment_cancelled_date"
648,398141,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H6796627052,THE PRINCIPAL INDUSTRIAL TRAINING INSTITUT,NEFT,2024-06-06,2024-06-07,283783,Success, SCHOOL EDUCATION DEPARTMENT OTHERS,G01104,GOVT,1785.000,281998.000,CONNECTED,
1854,399220,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H6848022000,THE GARRISON ENGINEER MES,E Payment,2024-06-11,2024-06-11,8332601,Success, DEFENCE,G05600,GOVT,0,8332601,CONNECTED,
1875,399518,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H6948022000,MS SUNALTRA TECHNOLOGIES PVT.,Virtual Account,2024-06-12,2024-06-12,247388,Success, NA,"",PVT,0,247388,CONNECTED,
1632,399487,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H7136494300,MS ASHISH JAIN AARJAV INDUSTRIES,Virtual Account,2024-06-12,2024-06-12,110886,Success, NA,"",PVT,0,110886,CONNECTED,
1853,399219,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H7268022000,THE N.C.C.WOMEN TRAINING,E Payment,2024-06-11,2024-06-11,327666,Success, SCHOOL EDUCATION DEPARTMENT OTHERS,G01104,GOVT,0,327666,CONNECTED,
976,398512,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H7438022000,MS COLOUR VALLEY COATINGS,Virtual Account,2024-06-10,2024-06-10,114664,Success, NA,"",PVT,0,114664,CONNECTED,
1259,398719,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H7527022000,MS S.B.HOTAL PVT. LTD.,Virtual Account,2024-06-10,2024-06-10,575325,Success, NA,"",PVT,0,575325,CONNECTED,
2401,399951,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H7605981574,M/S MARRY DEVELOPERS PVT. LTD.,Virtual Account,2024-06-21,2024-06-21,647995,Success, NA,"",PVT,45468.000,602527.000,CONNECTED,
1034,398551,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H7605981574,M/S MARRY DEVELOPERS PVT. LTD.,RTGS,2024-06-07,2024-06-10,287802,Success, NA,"",PVT,242334.000,45468.000,CONNECTED,
658,398151,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H7627022000,MS SURYA  ROSHNI LIMITED.,Virtual Account,2024-06-07,2024-06-07,401526,Success, NA,"",PVT,0,401526,CONNECTED,
2301,399845,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H7848022000,THE GARRISON ENGINEER EM,E Payment,2024-06-10,2024-06-19,15504590,Success, DEFENCE,G05600,GOVT,1264333.000,14240257.000,CONNECTED,
1267,398727,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H7858022000,MS MATOLIA MOTELS,Virtual Account,2024-06-10,2024-06-10,192185,Success, NA,"",PVT,0,192185,CONNECTED,
144,397737,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H8066536105,SHRIJI AWAS VIKAS PVT LTD,Virtual Account,2024-06-04,2024-06-04,596495,Success, NA,"",PVT,0,596495,CONNECTED,
827,398363,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H8268022000,THE DIRECTOR  INSTITUTE OF TRAVEL AND  TOU,Virtual Account,2024-06-10,2024-06-10,520677,Success, SCHOOL EDUCATION DEPARTMENT OTHERS,G01104,GOVT,0,520677,CONNECTED,
775,398310,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H8368225586,MS VIDHI CHAND DHARMSHALA TRUST,Virtual Account,2024-06-10,2024-06-10,313227,Success, NA,"",PVT,0,313227,CONNECTED,
401,397974,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H8389995337,KALYAN MEMORIAL KDJ HOSPITAL,Virtual Account,2024-06-06,2024-06-06,160000,Success,HEALTH DEPARTMENT,G02500,GOVT,123595.000,36405.000,CONNECTED,
460,397914,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H8389995337,KALYAN MEMORIAL KDJ HOSPITAL,Virtual Account,2024-06-05,2024-06-05,110000,Success,HEALTH DEPARTMENT,G02500,GOVT,74360.000,35640.000,CONNECTED,
2634,400070,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H8658022000,MS VIVASWAN HOTAL INDIA PVT.,SBI Collect,2024-06-24,2024-06-26,564859,Success, NA,"",PVT,0,564859,CONNECTED,
1620,399101,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H8758022000,MS RAJASTHAN PATRIKA PLTD.,NEFT,2024-06-10,2024-06-11,285065,Success, NA,"",PVT,0,285065,CONNECTED,
1391,398939,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H8928022000,MS DIKSHA  CONTAINERS,Virtual Account,2024-06-11,2024-06-11,702959,Success, NA,"",PVT,0,702959,CONNECTED,
84,397605,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H9064530941,MS N.G.GRANDE RAHWASHI SHAHKARI SANSTHA MARYADIT,Virtual Account,2024-06-03,2024-06-03,588118,Success, NA,"",PVT,0,588118,CONNECTED,
1396,398944,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H9148022000,MS DEEKSHA PACKAGING,Virtual Account,2024-06-11,2024-06-11,677903,Success, NA,"",PVT,0,677903,CONNECTED,
1855,399221,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H9248022000,MS  SHARDA  POLYMERS,NEFT,2024-06-11,2024-06-11,125753,Success, NA,"",PVT,0,125753,CONNECTED,
1916,399269,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H9297022000,MS SHIVA COMPRESSED AIR PRODU,Virtual Account,2024-06-11,2024-06-11,809062,Success, NA,"",PVT,0,809062,CONNECTED,
533,398056,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H9440726623,MS THE VETERINARY ASST. SURGEON,Virtual Account,2024-06-06,2024-06-06,71734,Success, FARMER WELFARE AND AGRICULTURAL DEVELOPMENT,G00601,GOVT,0,71734,CONNECTED,
1154,398614,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H9527022000,THE CHIEF MANAGER ZONAL STATE BANK OF INDI,Virtual Account,2024-06-10,2024-06-10,599145,Success, BANK,"",GOVT,0,599145,CONNECTED,
626,398248,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H9658022000,MS SURUCHI HOTAL,Virtual Account,2024-06-08,2024-06-08,148608,Success, NA,"",PVT,0,148608,CONNECTED,
1621,399102,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H9728022000,THE DEPUTY COMMISSIONER  INCOME  TAX,E Payment,2024-06-10,2024-06-11,214595,Success, INCOME TAX,G05700,GOVT,12114.000,202481.000,CONNECTED,
1721,399162,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H9734480416,MS S.R.S. VILLAS HOTELS P LTD,Virtual Account,2024-06-11,2024-06-11,401027,Success, NA,"",PVT,49189.000,351838.000,CONNECTED,
242,397810,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H9734480416,MS S.R.S. VILLAS HOTELS P LTD,Virtual Account,2024-06-04,2024-06-04,68443,Success, NA,"",PVT,19254.000,49189.000,CONNECTED,
2161,399653,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H9741942760,MS ATUL AGARWAL AND KUSUM AGARWAL,NEFT,2024-06-12,2024-06-13,334077,Success, NA,"",PVT,0,334077,CONNECTED,
46,397567,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H9758022000,MS ACURA EXTRUSION INDIA PVT.LTD.,Virtual Account,2024-06-01,2024-06-01,89691,Success, NA,"",PVT,0,89691,CONNECTED,
2269,399844,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H9828022000,THE VICE CHANCELLOR,E Payment,2024-06-01,2024-06-19,1320018,Success,,,PVT,0,1320018,CONNECTED,
666,398159,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H9848022000,THE STATION ENGINEER HPTV DOOR DARSHAN  KANDRA,Virtual Account,2024-06-07,2024-06-07,62418,Success, CENTRAL GOVERNMENT OTHER DEPT.,G06000,GOVT,0,62418,CONNECTED,
2421,399972,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H9925559556,SAPPHIRE INFRATECH,Virtual Account,2024-06-24,2024-06-24,840701,Success, NA,"",PVT,0,840701,CONNECTED,
1678,399119,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior East Dn,"2424900",H9948022000,MS KWALITY FOOD PRODUCTS,Virtual Account,2024-06-11,2024-06-11,526855,Success, NA,"",PVT,0,526855,CONNECTED,
250,397818,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H0107022000,THE STATION OFFICER DOOR  DARSHAN,Virtual Account,2024-06-04,2024-06-04,154141,Success, CENTRAL GOVERNMENT OTHER DEPT.,G06000,GOVT,0,154141,CONNECTED,
867,398403,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H0840450701,M/S SHREE SHYAM POLYMERS,Virtual Account,2024-06-10,2024-06-10,365369,Success, NA,"",PVT,0,365369,CONNECTED,
276,397844,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H1048022000,THE SR. D.E.E. G DIVISIONAL RAILWAY,Virtual Account,2024-06-05,2024-06-05,378795,Success, RAILWAYS,G05100,GOVT,0,378795,CONNECTED,
367,398012,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H1148022000,THE.PRINCIPAL SCINDHIA,Virtual Account,2024-06-06,2024-06-06,662779,Success, NA,"",PVT,0,662779,CONNECTED,
1613,399094,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H1348022000,RATAN JYOTI NETRALAYAOPTHAL-,SBI Collect,2024-06-10,2024-06-11,811258,Success, NA,"",PVT,0,811258,CONNECTED,
1255,398715,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H1658022000,THE SR.PROJECT ENGG.MPSTDC,Virtual Account,2024-06-10,2024-06-10,63877,Success, TOURISM,G03900,GOVT,0,63877,CONNECTED,
277,397845,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H1728022000,THE SR. D. E. E.  G  DIVISIONAL RAILWAY,Virtual Account,2024-06-05,2024-06-05,1881430,Success, RAILWAYS,G05100,GOVT,1851006.000,30424.000,CONNECTED,
2367,399917,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H1928022000,MS TROPILITE FOODS PVT.LTD,NEFT,2024-06-19,2024-06-20,4802749,Success, NA,"",PVT,0,4802749,CONNECTED,
377,397952,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H1948022000,MS AJAY GUPTA SO LATE SHRI HARBANS LAL,Virtual Account,2024-06-06,2024-06-06,200381,Success, NA,"",PVT,0,200381,CONNECTED,
179,397761,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H2086216680,"MADHYA PRADESH CRICKET ASSOCIATION INDORE,GWALIOR",RTGS,2024-06-03,2024-06-04,422324,Success, NA,"",PVT,0,422324,CONNECTED,
1222,398682,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H2407022000,MS VODAFONE IDEA LTD,Virtual Account,2024-06-10,2024-06-10,897675,Success, NA,"",PVT,118978.000,778697.000,CONNECTED,
2839,400394,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H2420050065,SHRI PARAMSUKH TRADING COMPANY,Virtual Account,2024-06-29,2024-06-29,435698,Success,,,PVT,404515.000,31183.000,CONNECTED,
547,398774,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H2421037915,RISHI OIL INDUSTRIES,Virtual Account,2024-06-11,2024-06-11,169742,Success,,,PVT,0,169742,CONNECTED,
2660,400093,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H2421037958,COMMISSIONER NAGAR NIGAM GWALIOR,E Payment,2024-06-25,2024-06-26,15000000,Success, NAGAR NIGAM OTHER,G00113,GOVT,14368716.000,631284.000,CONNECTED,
1504,399030,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H2421037959,RATAN JYOTI NETRALAYA PVT LTD,SBI Collect,2024-06-10,2024-06-11,296084,Success,,,PVT,0,296084,CONNECTED,
1961,399314,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H2421038030,HOPE POLYMERS,Virtual Account,2024-06-11,2024-06-11,865170,Success,,,PVT,0,865170,CONNECTED,
2108,399616,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H2421038032,S K ENTERPRISES,SBI Collect,2024-06-11,2024-06-13,276513,Success,,,PVT,0,276513,CONNECTED,
2158,399650,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H2421038141,KUSUM AGRAWAL,NEFT,2024-06-12,2024-06-13,287942,Success,,,PVT,0,287942,CONNECTED,
2798,400174,Gwalior(GR),"2370100",Gwalior City,"2429500",Gwalior North,"2424200",H2421038294,VERMA GASES,Virtual Account,2024-06-27,2024-06-27,440000,Success,,,PVT,403081.000,36919.000,CONNECTED,
